# n      x1       x2       g1      g2      eps

375  1.48432  2.29034  -0.586221  -0.361022  1.89954
376  1.48425  2.29029  -0.58591  -0.360829  1.89935
377  1.48417  2.29024  -0.585599  -0.360636  1.89915
378  1.48409  2.2902  -0.585288  -0.360442  1.89895
379  1.48402  2.29015  -0.584976  -0.360248  1.89875
380  1.48394  2.2901  -0.584663  -0.360054  1.89856
381  1.48386  2.29005  -0.58435  -0.359859  1.89836
382  1.48378  2.29  -0.584036  -0.359664  1.89816
383  1.48371  2.28996  -0.583721  -0.359469  1.89796
384  1.48363  2.28991  -0.583406  -0.359273  1.89776
385  1.48355  2.28986  -0.58309  -0.359076  1.89756
386  1.48347  2.28981  -0.582774  -0.35888  1.89736
387  1.48339  2.28976  -0.582456  -0.358683  1.89716
388  1.48332  2.28972  -0.582139  -0.358485  1.89696
389  1.48324  2.28967  -0.581821  -0.358288  1.89676
390  1.48316  2.28962  -0.581502  -0.358089  1.89656
391  1.48308  2.28957  -0.581182  -0.357891  1.89636
392  1.483  2.28952  -0.580862  -0.357692  1.89616
393  1.48292  2.28947  -0.580541  -0.357493  1.89595
394  1.48284  2.28942  -0.58022  -0.357293  1.89575
395  1.48276  2.28938  -0.579898  -0.357093  1.89555
396  1.48268  2.28933  -0.579576  -0.356893  1.89535
397  1.4826  2.28928  -0.579253  -0.356692  1.89514
398  1.48252  2.28923  -0.578929  -0.356491  1.89494
399  1.48244  2.28918  -0.578605  -0.35629  1.89473
400  1.48236  2.28913  -0.57828  -0.356088  1.89453
401  1.48228  2.28908  -0.577954  -0.355886  1.89433
402  1.4822  2.28903  -0.577628  -0.355683  1.89412
403  1.48212  2.28898  -0.577302  -0.35548  1.89392
404  1.48204  2.28893  -0.576975  -0.355277  1.89371
405  1.48196  2.28888  -0.576647  -0.355073  1.8935
406  1.48188  2.28883  -0.576318  -0.354869  1.8933
407  1.4818  2.28878  -0.575989  -0.354665  1.89309
408  1.48172  2.28873  -0.57566  -0.35446  1.89289
409  1.48164  2.28868  -0.57533  -0.354255  1.89268
410  1.48156  2.28863  -0.574999  -0.35405  1.89247
411  1.48148  2.28858  -0.574668  -0.353844  1.89226
412  1.48139  2.28853  -0.574336  -0.353638  1.89206
413  1.48131  2.28848  -0.574004  -0.353432  1.89185
414  1.48123  2.28843  -0.573671  -0.353225  1.89164
415  1.48115  2.28838  -0.573337  -0.353018  1.89143
416  1.48107  2.28833  -0.573003  -0.35281  1.89122
417  1.48099  2.28828  -0.572669  -0.352603  1.89101
418  1.4809  2.28823  -0.572333  -0.352395  1.8908
419  1.48082  2.28818  -0.571998  -0.352186  1.89059
420  1.48074  2.28813  -0.571661  -0.351977  1.89038
421  1.48066  2.28808  -0.571325  -0.351768  1.89017
422  1.48057  2.28803  -0.570987  -0.351558  1.88996
423  1.48049  2.28798  -0.570649  -0.351349  1.88975
424  1.48041  2.28792  -0.570311  -0.351138  1.88954
425  1.48032  2.28787  -0.569972  -0.350928  1.88933
426  1.48024  2.28782  -0.569632  -0.350717  1.88912
427  1.48016  2.28777  -0.569292  -0.350506  1.8889
428  1.48007  2.28772  -0.568951  -0.350294  1.88869
429  1.47999  2.28767  -0.56861  -0.350082  1.88848
430  1.47991  2.28762  -0.568268  -0.34987  1.88827
431  1.47982  2.28756  -0.567926  -0.349658  1.88805
432  1.47974  2.28751  -0.567583  -0.349445  1.88784
433  1.47966  2.28746  -0.56724  -0.349232  1.88763
434  1.47957  2.28741  -0.566896  -0.349018  1.88741
435  1.47949  2.28736  -0.566551  -0.348804  1.8872
436  1.4794  2.28731  -0.566206  -0.34859  1.88699
437  1.47932  2.28725  -0.565861  -0.348376  1.88677
438  1.47924  2.2872  -0.565515  -0.348161  1.88656
439  1.47915  2.28715  -0.565168  -0.347946  1.88634
440  1.47907  2.2871  -0.564821  -0.34773  1.88613
441  1.47898  2.28705  -0.564474  -0.347514  1.88591
442  1.4789  2.28699  -0.564126  -0.347298  1.88569
443  1.47881  2.28694  -0.563777  -0.347082  1.88548
444  1.47873  2.28689  -0.563428  -0.346865  1.88526
445  1.47864  2.28684  -0.563078  -0.346648  1.88505
446  1.47856  2.28678  -0.562728  -0.346431  1.88483
447  1.47847  2.28673  -0.562377  -0.346213  1.88461
448  1.47839  2.28668  -0.562026  -0.345995  1.88439
449  1.4783  2.28663  -0.561674  -0.345777  1.88418
450  1.47821  2.28657  -0.561322  -0.345558  1.88396
451  1.47813  2.28652  -0.56097  -0.345339  1.88374
452  1.47804  2.28647  -0.560616  -0.34512  1.88352
453  1.47796  2.28641  -0.560263  -0.344901  1.8833
454  1.47787  2.28636  -0.559908  -0.344681  1.88309
455  1.47778  2.28631  -0.559554  -0.344461  1.88287
456  1.4777  2.28625  -0.559199  -0.34424  1.88265
457  1.47761  2.2862  -0.558843  -0.344019  1.88243
458  1.47753  2.28615  -0.558487  -0.343798  1.88221
459  1.47744  2.2861  -0.55813  -0.343577  1.88199
460  1.47735  2.28604  -0.557773  -0.343355  1.88177
461  1.47727  2.28599  -0.557415  -0.343133  1.88155
462  1.47718  2.28593  -0.557057  -0.342911  1.88133
463  1.47709  2.28588  -0.556699  -0.342689  1.88111
464  1.477  2.28583  -0.556339  -0.342466  1.88089
465  1.47692  2.28577  -0.55598  -0.342243  1.88066
466  1.47683  2.28572  -0.55562  -0.342019  1.88044
467  1.47674  2.28567  -0.555259  -0.341796  1.88022
468  1.47666  2.28561  -0.554898  -0.341572  1.88
469  1.47657  2.28556  -0.554537  -0.341347  1.87978
470  1.47648  2.2855  -0.554175  -0.341123  1.87955
471  1.47639  2.28545  -0.553813  -0.340898  1.87933
472  1.4763  2.2854  -0.55345  -0.340673  1.87911
