# n      x1       x2       g1      g2      eps

3100000  0.692873  0.478614  0.209706  0.291736  0.366171
3110000  0.693652  0.479699  0.208864  0.29089  0.364562
3120000  0.694429  0.480781  0.208028  0.290049  0.362962
3130000  0.695202  0.48186  0.207198  0.289211  0.361371
3140000  0.695973  0.482936  0.206372  0.288376  0.359788
3150000  0.69674  0.484009  0.205552  0.287546  0.358214
3160000  0.697504  0.485078  0.204738  0.286719  0.356648
3170000  0.698265  0.486145  0.203929  0.285895  0.355091
3180000  0.699024  0.487208  0.203124  0.285075  0.353542
3190000  0.699779  0.488269  0.202326  0.284259  0.352001
3200000  0.700531  0.489326  0.201532  0.283447  0.350469
3210000  0.70128  0.490381  0.200743  0.282638  0.348945
3220000  0.702027  0.491432  0.199959  0.281832  0.347429
3230000  0.70277  0.492481  0.19918  0.28103  0.345922
3240000  0.703511  0.493526  0.198406  0.280231  0.344422
3250000  0.704248  0.494568  0.197637  0.279436  0.34293
3260000  0.704983  0.495608  0.196873  0.278644  0.341446
3270000  0.705715  0.496645  0.196113  0.277856  0.33997
3280000  0.706444  0.497678  0.195358  0.277071  0.338502
3290000  0.707171  0.498709  0.194608  0.276289  0.337042
3300000  0.707894  0.499737  0.193863  0.275511  0.335589
3310000  0.708615  0.500762  0.193122  0.274736  0.334144
3320000  0.709333  0.501784  0.192386  0.273965  0.332707
3330000  0.710048  0.502803  0.191654  0.273196  0.331277
3340000  0.710761  0.503819  0.190927  0.272431  0.329855
3350000  0.711471  0.504833  0.190204  0.271669  0.32844
3360000  0.712178  0.505843  0.189485  0.270911  0.327032
3370000  0.712883  0.506851  0.188771  0.270155  0.325632
3380000  0.713585  0.507856  0.188061  0.269403  0.324239
3390000  0.714284  0.508858  0.187356  0.268654  0.322854
3400000  0.714981  0.509858  0.186655  0.267908  0.321476
3410000  0.715675  0.510854  0.185958  0.267165  0.320104
3420000  0.716366  0.511848  0.185265  0.266426  0.31874
3430000  0.717055  0.512839  0.184576  0.265689  0.317383
3440000  0.717741  0.513828  0.183891  0.264955  0.316033
3450000  0.718425  0.514813  0.183211  0.264225  0.31469
3460000  0.719106  0.515796  0.182534  0.263497  0.313354
3470000  0.719785  0.516777  0.181862  0.262773  0.312025
3480000  0.720461  0.517754  0.181193  0.262052  0.310703
3490000  0.721135  0.518729  0.180528  0.261333  0.309387
3500000  0.721806  0.519701  0.179868  0.260618  0.308079
3510000  0.722475  0.520671  0.179211  0.259905  0.306776
3520000  0.723142  0.521638  0.178558  0.259195  0.305481
3530000  0.723806  0.522602  0.177908  0.258489  0.304192
3540000  0.724467  0.523564  0.177263  0.257785  0.30291
3550000  0.725126  0.524523  0.176621  0.257084  0.301634
3560000  0.725783  0.525479  0.175983  0.256386  0.300365
3570000  0.726437  0.526433  0.175348  0.25569  0.299102
3580000  0.727089  0.527384  0.174717  0.254998  0.297846
3590000  0.727739  0.528333  0.17409  0.254308  0.296596
3600000  0.728387  0.529279  0.173467  0.253621  0.295352
3610000  0.729032  0.530222  0.172846  0.252937  0.294115
3620000  0.729674  0.531163  0.17223  0.252256  0.292884
3630000  0.730315  0.532102  0.171617  0.251577  0.291659
3640000  0.730953  0.533038  0.171007  0.250902  0.29044
3650000  0.731589  0.533971  0.170401  0.250228  0.289227
3660000  0.732223  0.534902  0.169798  0.249558  0.288021
3670000  0.732854  0.535831  0.169199  0.24889  0.28682
3680000  0.733483  0.536757  0.168602  0.248225  0.285626
3690000  0.73411  0.53768  0.16801  0.247563  0.284437
3700000  0.734735  0.538601  0.16742  0.246903  0.283255
3710000  0.735358  0.53952  0.166834  0.246245  0.282078
3720000  0.735978  0.540436  0.166251  0.245591  0.280907
3730000  0.736596  0.541349  0.165671  0.244939  0.279742
3740000  0.737212  0.542261  0.165094  0.244289  0.278583
3750000  0.737826  0.543169  0.164521  0.243642  0.277429
3760000  0.738438  0.544076  0.163951  0.242998  0.276281
3770000  0.739048  0.54498  0.163383  0.242356  0.275139
3780000  0.739655  0.545882  0.162819  0.241717  0.274003
3790000  0.740261  0.546781  0.162258  0.24108  0.272872
3800000  0.740864  0.547678  0.1617  0.240445  0.271747
3810000  0.741466  0.548572  0.161145  0.239813  0.270627
3820000  0.742065  0.549465  0.160593  0.239184  0.269513
3830000  0.742662  0.550354  0.160044  0.238557  0.268404
3840000  0.743257  0.551242  0.159498  0.237932  0.267301
3850000  0.743851  0.552127  0.158955  0.23731  0.266203
3860000  0.744442  0.55301  0.158414  0.23669  0.26511
3870000  0.745031  0.553891  0.157877  0.236073  0.264023
3880000  0.745618  0.554769  0.157342  0.235458  0.262941
3890000  0.746203  0.555645  0.15681  0.234845  0.261864
3900000  0.746786  0.556519  0.156281  0.234235  0.260793
3910000  0.747368  0.55739  0.155755  0.233627  0.259727
3920000  0.747947  0.558259  0.155232  0.233022  0.258666
3930000  0.748524  0.559126  0.154711  0.232418  0.25761
3940000  0.7491  0.559991  0.154193  0.231817  0.256559
3950000  0.749673  0.560853  0.153678  0.231218  0.255513
3960000  0.750245  0.561714  0.153165  0.230622  0.254473
3970000  0.750814  0.562572  0.152655  0.230028  0.253437
3980000  0.751382  0.563428  0.152148  0.229436  0.252406
3990000  0.751948  0.564281  0.151643  0.228846  0.251381
4000000  0.752512  0.565133  0.151141  0.228258  0.25036
4010000  0.753074  0.565982  0.150642  0.227673  0.249344
4020000  0.753634  0.566829  0.150145  0.22709  0.248333
4030000  0.754192  0.567674  0.149651  0.226509  0.247327
4040000  0.754749  0.568517  0.149159  0.22593  0.246326
4050000  0.755304  0.569357  0.148669  0.225354  0.24533
4060000  0.755857  0.570196  0.148183  0.224779  0.244338
4070000  0.756408  0.571032  0.147698  0.224207  0.243351
4080000  0.756957  0.571866  0.147216  0.223637  0.242369
4090000  0.757505  0.572698  0.146737  0.223069  0.241391
4100000  0.75805  0.573528  0.14626  0.222503  0.240418
4110000  0.758594  0.574356  0.145785  0.221939  0.23945
4120000  0.759137  0.575182  0.145313  0.221377  0.238486
4130000  0.759677  0.576005  0.144843  0.220817  0.237527
4140000  0.760216  0.576827  0.144375  0.220259  0.236572
4150000  0.760753  0.577646  0.14391  0.219704  0.235622
4160000  0.761288  0.578464  0.143447  0.21915  0.234676
4170000  0.761822  0.579279  0.142986  0.218599  0.233735
4180000  0.762353  0.580092  0.142528  0.218049  0.232798
4190000  0.762883  0.580904  0.142071  0.217501  0.231866
