# n      x1       x2       g1      g2

434  -0.0294875  -0.0697816  2.89232  14.1302
435  -0.0293379  -0.0691827  2.88066  14.0087
436  -0.0291898  -0.0685885  2.86917  13.8881
437  -0.0290431  -0.0679992  2.85786  13.7685
438  -0.0288978  -0.0674146  2.84671  13.6499
439  -0.0287539  -0.0668347  2.83573  13.5323
440  -0.0286113  -0.0662595  2.82491  13.4156
441  -0.02847  -0.0656889  2.81425  13.2999
442  -0.0283301  -0.065123  2.80374  13.1851
443  -0.0281915  -0.0645617  2.79339  13.0713
444  -0.0280542  -0.0640048  2.78319  12.9584
445  -0.0279181  -0.0634525  2.77314  12.8464
446  -0.0277833  -0.0629047  2.76324  12.7353
447  -0.0276497  -0.0623613  2.75348  12.6252
448  -0.0275174  -0.0618223  2.74385  12.5159
449  -0.0273862  -0.0612877  2.73437  12.4075
450  -0.0272562  -0.0607575  2.72503  12.3001
451  -0.0271274  -0.0602315  2.71582  12.1935
452  -0.0269997  -0.0597098  2.70674  12.0878
453  -0.0268731  -0.0591924  2.69779  11.9829
454  -0.0267477  -0.0586792  2.68897  11.8789
455  -0.0266234  -0.0581701  2.68028  11.7758
456  -0.0265001  -0.0576652  2.67171  11.6735
457  -0.0263779  -0.0571644  2.66326  11.572
458  -0.0262568  -0.0566677  2.65493  11.4714
459  -0.0261367  -0.056175  2.64672  11.3716
460  -0.0260177  -0.0556864  2.63862  11.2727
461  -0.0258997  -0.0552017  2.63064  11.1745
462  -0.0257826  -0.054721  2.62277  11.0772
463  -0.0256665  -0.0542443  2.61501  10.9806
464  -0.0255515  -0.0537714  2.60736  10.8849
465  -0.0254373  -0.0533024  2.59982  10.7899
466  -0.0253241  -0.0528372  2.59238  10.6957
467  -0.0252119  -0.0523758  2.58504  10.6023
468  -0.0251005  -0.0519182  2.57781  10.5097
469  -0.0249901  -0.0514644  2.57067  10.4178
470  -0.0248805  -0.0510142  2.56364  10.3266
471  -0.0247719  -0.0505677  2.5567  10.2363
472  -0.024664  -0.0501249  2.54985  10.1467
473  -0.0245571  -0.0496858  2.5431  10.0578
474  -0.024451  -0.0492502  2.53644  9.96961
475  -0.0243457  -0.0488182  2.52988  9.88218
476  -0.0242412  -0.0483897  2.5234  9.79546
477  -0.0241376  -0.0479647  2.51701  9.70947
478  -0.0240347  -0.0475432  2.51071  9.62418
479  -0.0239326  -0.0471252  2.50449  9.5396
480  -0.0238313  -0.0467106  2.49836  9.45571
481  -0.0237307  -0.0462994  2.4923  9.37251
482  -0.0236309  -0.0458916  2.48633  9.29
483  -0.0235319  -0.0454871  2.48044  9.20817
484  -0.0234335  -0.045086  2.47463  9.12702
485  -0.0233359  -0.0446881  2.4689  9.04653
486  -0.023239  -0.0442935  2.46324  8.96671
487  -0.0231428  -0.0439021  2.45766  8.88754
488  -0.0230473  -0.0435139  2.45215  8.80902
489  -0.0229524  -0.043129  2.44672  8.73116
490  -0.0228582  -0.0427472  2.44135  8.65393
491  -0.0227647  -0.0423685  2.43606  8.57734
492  -0.0226719  -0.0419929  2.43084  8.50138
493  -0.0225796  -0.0416204  2.42568  8.42605
494  -0.022488  -0.041251  2.4206  8.35133
495  -0.0223971  -0.0408845  2.41557  8.27724
496  -0.0223067  -0.0405211  2.41062  8.20375
497  -0.0222169  -0.0401607  2.40573  8.13086
498  -0.0221278  -0.0398033  2.4009  8.05858
499  -0.0220392  -0.0394487  2.39614  7.98689
500  -0.0219512  -0.0390971  2.39143  7.91579
501  -0.0218637  -0.0387484  2.38679  7.84527
502  -0.0217768  -0.0384025  2.38221  7.77534
503  -0.0216905  -0.0380594  2.37768  7.70598
504  -0.0216047  -0.0377192  2.37322  7.63719
505  -0.0215195  -0.0373817  2.36881  7.56896
506  -0.0214348  -0.037047  2.36446  7.5013
507  -0.0213506  -0.0367151  2.36016  7.43419
508  -0.0212669  -0.0363859  2.35592  7.36763
509  -0.0211837  -0.0360593  2.35173  7.30162
510  -0.021101  -0.0357355  2.34759  7.23614
511  -0.0210188  -0.0354143  2.34351  7.17121
512  -0.0209371  -0.0350957  2.33947  7.10681
513  -0.0208559  -0.0347797  2.33549  7.04293
514  -0.0207751  -0.0344663  2.33156  6.97958
515  -0.0206948  -0.0341555  2.32768  6.91675
516  -0.020615  -0.0338472  2.32385  6.85443
517  -0.0205356  -0.0335414  2.32006  6.79262
518  -0.0204566  -0.0332381  2.31632  6.73132
519  -0.0203781  -0.0329373  2.31263  6.67051
520  -0.0203  -0.0326389  2.30898  6.61021
521  -0.0202223  -0.032343  2.30538  6.55039
522  -0.0201451  -0.0320495  2.30182  6.49107
523  -0.0200682  -0.0317584  2.29831  6.43223
524  -0.0199918  -0.0314696  2.29484  6.37386
525  -0.0199157  -0.0311832  2.29141  6.31598
526  -0.01984  -0.0308992  2.28803  6.25856
527  -0.0197648  -0.0306174  2.28468  6.20161
528  -0.0196898  -0.0303379  2.28138  6.14513
529  -0.0196153  -0.0300607  2.27812  6.0891
530  -0.0195412  -0.0297858  2.27489  6.03353
531  -0.0194673  -0.0295131  2.27171  5.97841
532  -0.0193939  -0.0292426  2.26856  5.92374
533  -0.0193208  -0.0289742  2.26546  5.86951
534  -0.019248  -0.0287081  2.26239  5.81572
535  -0.0191756  -0.0284441  2.25935  5.76236
536  -0.0191035  -0.0281822  2.25636  5.70944
537  -0.0190318  -0.0279225  2.25339  5.65694
538  -0.0189603  -0.0276648  2.25047  5.60487
539  -0.0188892  -0.0274093  2.24758  5.55321
540  -0.0188184  -0.0271558  2.24472  5.50198
541  -0.0187479  -0.0269043  2.2419  5.45116
542  -0.0186777  -0.0266549  2.23911  5.40074
543  -0.0186078  -0.0264074  2.23635  5.35073
544  -0.0185382  -0.026162  2.23363  5.30113
545  -0.0184688  -0.0259185  2.23094  5.25192
546  -0.0183998  -0.025677  2.22828  5.2031
547  -0.018331  -0.0254374  2.22565  5.15468
548  -0.0182625  -0.0251997  2.22305  5.10664
549  -0.0181943  -0.0249639  2.22049  5.05899
550  -0.0181264  -0.02473  2.21795  5.01172
551  -0.0180586  -0.024498  2.21544  4.96483
552  -0.0179912  -0.0242678  2.21296  4.91831
553  -0.017924  -0.0240395  2.21051  4.87216
554  -0.017857  -0.023813  2.20809  4.82637
555  -0.0177903  -0.0235883  2.2057  4.78095
556  -0.0177239  -0.0233653  2.20333  4.73589
557  -0.0176576  -0.0231442  2.20099  4.69119
558  -0.0175916  -0.0229248  2.19868  4.64684
559  -0.0175258  -0.0227071  2.1964  4.60285
560  -0.0174602  -0.0224911  2.19414  4.5592
561  -0.0173949  -0.0222769  2.1919  4.51589
562  -0.0173297  -0.0220643  2.1897  4.47292
563  -0.0172648  -0.0218534  2.18751  4.4303
564  -0.0172001  -0.0216442  2.18535  4.388
565  -0.0171355  -0.0214366  2.18322  4.34604
566  -0.0170712  -0.0212306  2.18111  4.30441
567  -0.017007  -0.0210263  2.17903  4.2631
568  -0.0169431  -0.0208235  2.17696  4.22212
569  -0.0168793  -0.0206223  2.17493  4.18145
570  -0.0168157  -0.0204227  2.17291  4.1411
571  -0.0167523  -0.0202247  2.17092  4.10107
572  -0.0166891  -0.0200282  2.16894  4.06134
573  -0.016626  -0.0198332  2.167  4.02192
574  -0.0165631  -0.0196397  2.16507  3.98281
575  -0.0165003  -0.0194477  2.16316  3.944
576  -0.0164378  -0.0192572  2.16128  3.90549
